Season,Date,Referee,HomeTeam,AwayTeam,FullTime,HalfTime,HomeGoals,HomeGoalsHalftime,HomeShots,HomeShotsOnTarget,HomeCorners,HomeFouls,HomeYellowCards,HomeRedCards,AwayGoals,AwayGoalsHalftime,AwayShots,AwayShotsOnTarget,AwayCorners,AwayFouls,AwayYellowCards,AwayRedCards
2010/11,2010-12-28,33,13,17,Draw,Draw,1,1,11,2,4,12,1,0,1,1,13,5,7,15,0,0
2010/11,2010-12-29,8,1,12,HomeWin,Draw,1,0,12,7,6,12,1,0,0,0,6,2,3,24,1,0
2010/11,2010-12-29,10,29,8,AwayWin,Draw,0,0,9,5,2,8,1,0,1,0,7,3,8,11,1,0
2010/11,2010-12-29,14,27,2,Draw,AwayWin,2,1,7,5,3,16,1,1,2,2,15,9,4,11,0,0
2010/11,2011-01-01,10,20,2,AwayWin,AwayWin,0,0,2,1,4,7,3,0,3,1,18,11,5,9,1,0
2010/11,2011-01-01,11,29,12,HomeWin,AwayWin,2,0,16,7,7,11,2,0,1,1,10,4,4,16,2,0
2010/11,2011-01-01,3,36,30,HomeWin,HomeWin,1,1,15,4,10,11,0,0,0,0,8,6,4,9,0,0
2010/11,2011-01-01,32,19,17,HomeWin,HomeWin,2,1,7,3,1,14,4,0,0,0,15,10,5,8,1,0
2010/11,2011-01-01,23,26,10,HomeWin,HomeWin,3,2,13,7,3,13,1,0,0,0,11,3,2,9,2,0
2010/11,2011-01-01,8,25,16,HomeWin,HomeWin,1,1,13,9,5,11,2,0,0,0,12,4,1,9,1,0
2010/11,2011-01-01,17,6,33,AwayWin,Draw,1,1,17,8,4,8,1,0,2,1,5,3,5,13,3,0
2010/11,2011-01-01,14,13,8,HomeWin,Draw,2,0,11,6,5,7,0,0,0,0,15,10,10,14,1,0
2010/11,2011-01-02,15,1,14,Draw,Draw,3,1,15,10,9,17,2,0,3,1,16,10,6,11,7,0
2010/11,2011-01-02,33,27,3,AwayWin,AwayWin,0,0,9,4,3,15,2,0,1,1,13,5,3,14,2,0
2010/11,2011-01-04,27,30,20,AwayWin,AwayWin,1,0,19,13,3,9,0,0,2,1,11,7,7,6,1,0
2010/11,2011-01-04,6,16,6,HomeWin,HomeWin,3,1,12,6,7,7,0,0,0,0,12,4,4,9,1,0
2010/11,2011-01-04,3,33,19,HomeWin,HomeWin,2,1,18,7,6,6,0,0,1,0,5,1,1,11,0,0
2010/11,2011-01-05,8,2,36,Draw,Draw,0,0,13,8,7,6,0,1,0,0,5,0,2,12,2,1
2010/11,2011-01-05,10,14,26,AwayWin,Draw,0,0,8,2,5,9,3,1,1,0,11,5,9,12,3,1
2010/11,2011-01-05,32,10,29,HomeWin,HomeWin,3,2,10,4,0,14,1,0,1,0,13,9,7,13,1,0
2010/11,2011-01-05,29,12,27,Draw,Draw,1,0,14,7,8,9,0,0,1,0,10,7,4,8,4,0
2010/11,2011-01-05,14,17,25,HomeWin,Draw,2,1,19,12,4,16,1,0,1,1,13,5,3,12,0,0
2010/11,2011-01-05,23,3,13,HomeWin,HomeWin,5,3,11,7,4,10,0,0,0,0,13,6,3,10,4,0
2010/11,2011-01-05,22,8,1,HomeWin,HomeWin,1,1,3,2,4,15,0,0,0,0,17,8,9,12,1,0
2010/11,2011-01-12,4,30,29,HomeWin,Draw,2,1,13,9,3,6,1,0,1,1,10,6,3,13,3,0
2010/11,2011-01-15,6,1,10,HomeWin,Draw,2,0,27,11,14,10,1,0,0,0,3,2,1,6,0,0
2010/11,2011-01-15,15,36,8,HomeWin,Draw,4,1,15,12,11,9,0,0,3,1,10,7,8,9,0,0
2010/11,2011-01-15,4,19,12,HomeWin,HomeWin,2,1,12,5,5,8,0,0,0,0,13,6,5,13,2,0
2010/11,2011-01-15,16,6,30,HomeWin,Draw,3,1,18,11,4,10,1,0,2,1,9,2,4,11,2,0
2010/11,2011-01-15,32,13,2,AwayWin,AwayWin,0,0,7,6,4,8,1,0,3,2,19,13,10,7,0,0
